IL10
IL6
PSMD1
IL13
ICAM1
TP53
IL2
IRF7
IL1B
MAPK8
TRAF3
TNF
TLR4
STAT1
AKT1
IL4
CXCL8
RHOA
SMAD3
MAPK1
NFKB1
MAPK14
MAPK3
