RPS6KA3
IL2
IRF3
BCL2
GLB1
RAB3D
IL18
CCL2
ADAM10
CCL5
CLEC4G
NOS2
CD68
IL10
BIRC3
IL7R
MX1
MBL2
PPIA
IL8
CYCS
CRP
ANPEP
CD46
HLA-C
MBP
ARF1
TUBB4
PSMD2
SOD1
IFNA1
ICAM3
STUB1
SMAD3
USP7
RB1
BCL2L1
STAT1
IL6
TNF
FGL2
TP53
CTSL1
E2F1
RUNX3
VIM
CDK4
IFNG
IL28A
FCER2
NFKB1
CDA
IFNA2
MAPK3
IFNB1
KIT
CD40LG
FAS
CST3
DDX58
MAVS
HSPA8
IRF1
CXCL10
RHOA
CD44
ACAA1
IL1B
CCL3
HSP90B1
CD40
MYC
IL13
TBK1
LAT2
IL1A
ITGB2
LTF
BAX
CD79A
IL5
CD14
ISG15
MAPK1
CD4
MAPK14
CCL4
IMPDH1
MS4A1
MAPK8
MYD88
OAS1
CD80
PSMD1
TRAF3
TGFB1
ICAM1
BTF3
IKBKE
TLR4
IL17A
TLR9
CDK2
CD86
EGFR
CD209
IL4
CD27
CCR5
IRF7
ADAM17
EGF
HPSE
CCR6
PTGS2
AKT1
